買取価格,,,,03/07,03/06,03/05,03/04,03/03,03/02,03/01,02/28,02/27,02/26,02/25,02/24,02/23,02/22,02/21,02/20,02/19,02/18,02/17,02/16,02/15,02/14,02/13,02/12,02/11,02/10,02/09,02/08,02/07,02/06,02/05,02/04,02/03,02/02,02/01,01/31,01/30,01/29,01/28,01/27,01/26,01/25,01/24,01/23,01/22,01/21,01/20,01/19,01/18,01/17,01/16,01/15,01/14,01/13,01/12,01/11,01/10,01/09,01/08,01/07,01/06,01/05,01/04,01/03,01/02,01/01,12/31,12/30,12/29,12/28,12/27,12/26,12/25,12/24,12/23,12/22,12/21,12/20,12/19,12/18,12/17,12/16,12/15,12/14,12/13,12/12,12/11,12/10,12/09,12/08,12/07,12/06,12/05,12/04,12/03,12/02,12/01,11/30,11/29,11/28,11/27,11/26,11/25,11/24,11/23,11/22,11/21,11/20,11/19,11/18,11/17,11/16,11/15,11/14,11/13,11/12,11/11,11/10,11/09,11/08,11/07,11/06,11/05,11/04,11/03,11/02,11/01,10/31,10/30,10/29,10/28,10/27,10/26,10/25,10/24,10/23,10/22,10/21,10/20,10/19,10/18,10/17,10/16,10/15,10/14,10/13,10/12,10/11,10/10,10/09,10/08,10/07,10/06,10/05,10/04,10/03,10/02,10/01,09/30,09/29,09/28,09/27,09/26,09/25,09/24,09/23,09/22,09/21,09/20,09/19,,最安値,最高値
機種名,容量,Apple定価,差額,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月（祝）,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火（祝）,月,日,土,金,,,
15,128G,"  112,800 ","-112,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000","82,000",,"80,000","82,000"
,256G,"  127,800 ","-127,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000","92,000",,"90,000","92,000"
,512G,"  157,800 ","-157,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
データ取得時刻,,,,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,21:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,21:00,21:00,20:00,21:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※差額はAppleの定価と最新の買取価格の差額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※前日より値上がりなら赤字 値下がりなら青字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,https://mobile-mix.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,https://x.com/mobilemix2015?lang=ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利益額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17ProMax,256G,"  194,800 ",,"11,200","11,200","10,200","11,200","10,200",200,"18,200","18,200","18,200","18,200","17,200","15,200","13,200","13,200","13,200","15,200","17,200","13,200","12,200","11,200","11,200","11,200","10,700","8,200","7,200","7,200","12,700","12,700","12,700","12,700","11,200","11,200","10,200","8,700","8,200","8,200","8,200","7,200","5,200","12,200","12,700","12,200","12,200","15,200","15,200","14,200","8,700","7,200","9,200","9,200","10,200","10,200","9,200","9,200","9,200","8,200","8,200","10,700","9,200","6,200","4,700","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","2,200","1,200",200,200,200,"3,200","3,200","3,200","1,700","1,200",200,-800,"-1,300","-1,800","-1,800","-1,300","-1,300","-1,300","-1,800","-1,800","-2,300","-2,300","-2,800","-2,800","-2,800","-3,300","-3,800","-3,800","-2,800","-2,800","-2,800","-2,300","-2,300",-800,700,700,200,"-1,300",200,700,700,700,700,200,"1,200",200,"1,200","1,200","3,200","3,200","3,200","3,200","3,200","3,200","3,200","3,200","3,200","2,200",200,-800,"2,200","3,200","10,200","10,200","10,200","10,200","12,900","12,200","11,200","16,200","20,200","18,700","20,200","18,200","17,200","17,200","17,200","24,700","24,700","21,200","20,200","18,400","18,400","27,200","35,700","34,200","22,200","19,200","13,200","13,200","13,200",,"-3,800","35,700"
,512G,"  229,800 ",,"5,200","4,200","4,200","6,200","3,200",-800,"13,200","13,200","13,200","13,200","11,200","10,200","8,200","8,200","8,200","8,200","10,200","8,200","3,700","2,200","2,200","1,700","1,200","-1,300",-300,-300,-300,-300,-300,-300,"-4,800","-2,800","-2,800","-3,800","-4,800","-4,800","-4,800","-6,800","-6,800","-1,800","-1,800","-1,800","-1,800","2,200","1,200","1,200","1,200","1,200","2,200","2,200","3,200","3,200","3,200","2,700","2,700","2,700","2,700","6,700","5,200","3,700","2,200",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-800,-800,-800,-800,200,200,200,-800,"-1,300","-1,300","-1,300","-1,300","-1,800","-1,800","-1,800","-1,800","-1,800","-2,300","-2,300","-2,800","-2,800","-2,800","-2,800","-3,600","-3,600","-3,800","-2,300","-2,300","-2,800","-3,800","-3,800","-2,800","-3,800","-2,800","-2,800","-3,800","-3,800","-3,800","-3,800",200,200,200,200,200,200,200,200,"-1,800",700,700,700,700,700,700,700,200,200,-800,-800,"2,200","2,200","5,700","5,700","5,700","5,200","6,900","6,200","6,200","10,200","14,700","14,200","13,200","11,200","10,200","10,200","10,200","16,200","16,200","13,200","10,200","11,200","11,200","20,200","33,400","31,200","18,200","18,200","13,200","13,200","13,200",,"-6,800","33,400"
,1T,"  264,800 ",,-800,-800,-800,"3,200","1,200","-1,800","3,700","3,700","3,700","3,700","1,700",700,-800,-800,-800,-800,"1,200","-1,800","-3,300","-3,800","-3,800","-3,800","-3,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-6,800","-6,800","-6,800","-6,800","-6,800","-6,800","-6,800","-6,800","-8,800","-8,800","-3,800","-3,800","-1,800","-1,800","1,200","1,200","1,200","1,200","1,200","2,200","2,200","3,200","3,200","3,200","2,700","2,700","2,700","2,700","6,200","4,700","2,200",700,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,"-2,300","-2,300","-2,300","-2,300","-2,300","-2,300","-2,300","-3,300","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-4,300","-4,300","-4,300","-4,300","-4,300","-4,300","-4,300","-4,300","-4,800","-4,300","-4,300","-4,300","-4,300","-4,300","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-1,800","-1,800","-1,800","-1,800","-1,800","-1,800","-1,800","-1,800","-1,800","-2,800","-2,800","1,200","2,200","5,200","5,200","5,200","5,200","9,400","9,200","9,200","15,200","19,200","16,700","16,200","15,200","14,200","14,200","14,200","16,200","16,200","13,200","11,200","12,400","12,400","17,200","27,400","26,200","15,200","15,200","10,200","10,200","10,200",,"-8,800","27,400"
,2T,"  329,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-23,800","-23,800","-23,800","-23,800","-23,800","-24,800","-24,800","-18,800","-18,800","-16,800","-16,800","-13,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-13,800","-14,800","-14,800","-14,800","-14,800","-14,800","-14,800","-14,800","-14,800","-14,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-18,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-15,800","-16,800","-18,800","-18,800","-18,800","-18,800","-14,800","-14,800","-12,800","-3,800","-2,800",400,400,200,200,"1,700","1,700","1,700","1,200","1,200","1,200","1,200","1,200","3,200","3,200","1,200",200,"1,400","1,400","7,200","20,400","19,200","9,200","9,200","5,200","5,200","5,200",,"-24,800","20,400"
17Pro,256G,"  179,800 ",,"8,200","8,200","7,200","6,700","6,700",200,"12,200","12,200","12,200","12,200","10,200","8,200","8,200","8,200","8,200","8,200","10,200","7,700","5,200","5,200","4,700","4,700","3,200","2,200","5,200","5,200","7,200","7,200","7,200","7,200","5,200","5,200","4,700","3,200","3,200","3,200","3,200","1,200",200,"3,700","3,700","2,700","2,700","5,700","3,700","2,700","1,200","1,200","3,200","4,200","5,200","5,200","5,200","4,700","3,200","3,200","3,200","4,700","2,700","1,700",-300,"-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-4,800","-4,800","-4,800","-3,800","-2,800","-3,300","-3,300","-3,300","-3,300","-2,800",-300,700,200,-300,-800,-800,"-1,300","-1,800","-1,800","-1,800","-1,800","-1,800","-2,300","-2,300","-2,300","-2,300","-2,300","-2,300","-2,300","-2,800","-2,800","-2,800","-2,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-2,800","-3,800","-3,800","-3,800","-2,800","-1,800","-2,300","-2,300","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-3,300","-4,800","-4,800","-3,800","-2,800","-1,800",,,"-2,800",-800,"3,200","7,200","8,200","8,200","7,200","5,700","3,200","4,200","4,200","3,200","1,700","1,200",700,700,700,700,700,-800,-800,-800,-800,200,"3,700","6,200","2,700","1,000","-3,800","-4,800","-2,800",,"-4,800","12,200"
,512G,"  214,800 ",,-800,-800,-800,"2,200","1,200","-1,800","4,200","4,200","4,200","4,200","2,200","1,200",-300,-300,-300,-800,"1,200","-2,800","-3,800","-4,800","-4,800","-4,800","-5,300","-6,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-7,800","-7,800","-7,800","-8,800","-8,800","-8,800","-8,800","-8,800","-8,800","-5,800","-5,800","-4,800","-4,800","-2,800","-2,800","-2,800","-1,800","-1,800","-1,800","-1,800",-800,-800,-800,"-1,300","-1,300","-1,300","-1,300","1,200","1,200",-800,"-1,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,800","-3,300","-3,300","-3,300","-3,300","-3,300","-3,300","-3,300","-2,800",-800,-800,"-1,300","-1,300","-1,300","-1,300","-2,800","-3,800","-3,800","-4,300","-4,300","-4,300","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-3,800","-4,800","-4,800","-4,800","-3,800","-3,800","-3,800","-3,800","-1,800","-1,800","-1,800","-2,800","-1,800","-1,800","-1,800","-1,800","-1,800","-2,800","-2,800","-3,800",-800,-800,-800,,,200,200,"1,200","1,200","2,700","2,700","2,600","2,200","1,200","3,200","3,200","2,200",700,-100,-100,-300,-300,-300,-300,"-1,800","-1,800",200,200,"2,200","2,400","4,200",700,"-1,000","-6,800","-4,800","-2,800",,"-8,800","4,200"
,1T,"  249,800 ",,"-5,300","-5,300","-5,300","-5,300","-5,800","-6,800","-5,300","-5,300","-5,300","-5,300","-7,300","-8,300","-8,800","-8,800","-8,800","-8,800","-6,800","-9,800","-10,300","-10,800","-10,800","-10,800","-11,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-13,800","-13,800","-13,800","-13,800","-13,800","-13,800","-13,800","-13,800","-13,800","-9,800","-9,800","-9,800","-9,800","-6,800","-6,800","-6,800","-6,800","-6,800","-6,800","-6,800","-5,800","-5,800","-5,800","-6,300","-6,300","-6,300","-6,300","-4,800","-4,800","-6,800","-6,800","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,300","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-3,800","-2,800","-2,800",,,"-2,800","-2,800",-800,-800,-600,-600,-600,"-1,800","-1,800",200,200,-800,"-3,300","-4,100","-4,100","-4,300","-4,800","-2,300","-2,300","-3,800","-3,800","-3,600","-3,600","1,700","1,400","3,200",-300,"-4,800","-7,800","-5,800","-2,800",,"-13,800","3,200"
Air,256G,"  159,800 ",,"-25,800","-25,800","-25,800","-25,800","-25,800","-27,800","-25,800","-25,800","-25,800","-25,800","-25,800","-25,800","-25,800","-25,800","-25,800","-25,800","-25,800","-25,800","-25,800","-26,800","-25,800","-25,800","-25,800","-25,800","-23,800","-23,800","-23,800","-24,800","-24,800","-20,800","-19,800","-17,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-8,800","-8,800","-8,800","-8,800","-6,800","-6,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-8,800","-10,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-11,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-12,800","-14,800","-14,800","-15,800","-15,800","-15,800","-16,800","-16,800","-16,800","-14,800","-14,800","-14,800","-10,800","-10,800","-10,800","-10,800","-10,800","-11,800","-12,800","-12,800","-12,800","-12,800","-13,800","-13,800","-16,800","-14,800","-14,800","-16,800","-16,800","-17,800","-17,800","-17,800","-19,800","-19,800","-23,800","-23,800","-25,800","-25,800","-27,800","-27,800","-27,800","-28,800","-28,800","-28,800","-30,800","-32,800","-32,800","-32,800","-32,800","-33,800","-33,800","-35,800","-35,800","-35,800","-35,800","-36,800","-31,800","-30,800","-31,800","-28,800","-26,800","-25,800","-22,800","-20,800","-20,800","-20,800","-20,800","-19,800","-18,800","-16,800","-10,800","-8,800","-8,800","-8,800","-6,800","-6,800","-4,800","3,400","5,400","2,600","1,700","-3,800","-3,800","-1,800",,"-36,800","5,400"
,512G,"  194,800 ",,"-45,800","-45,800","-50,800","-50,800","-50,800","-50,800","-44,800","-44,800","-44,800","-44,800","-44,800","-44,800","-44,800","-44,800","-44,800","-44,800","-44,800","-44,800","-45,800","-45,800","-44,800","-44,800","-41,800","-41,800","-41,800","-41,800","-41,800","-41,800","-41,800","-41,800","-41,800","-41,800","-34,800","-34,800","-34,800","-34,800","-34,800","-34,800","-29,800","-27,800","-27,800","-27,800","-27,800","-27,800","-27,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-28,800","-29,800","-31,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-32,800","-34,800","-34,800","-35,800","-35,800","-36,800","-36,800","-36,800","-33,800","-33,800","-33,800","-33,800","-31,800","-31,800","-31,800","-31,800","-31,800","-32,800","-33,800","-34,800","-34,800","-34,800","-34,800","-35,800","-35,800","-35,800","-35,800","-36,800","-37,800","-37,800","-37,800","-37,800","-39,800","-39,800","-41,800","-41,800","-41,800","-44,800","-44,800","-44,800","-44,800","-48,800","-48,800","-48,800","-50,800","-51,800","-55,800","-55,800","-55,800","-55,800","-55,800","-55,800","-55,800","-54,800","-54,800","-41,800","-36,800","-36,800","-36,800","-33,800","-32,800","-32,800","-25,800","-25,800","-25,800","-25,800","-25,800","-17,800","-17,800","-17,800","-11,800","-8,800","-8,800","-6,800","-6,800","-6,800","-2,800",400,"1,400","-1,700","-2,600","-6,800","-4,800",-800,,"-55,800","1,400"
,1T,"  229,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-63,800","-61,800","-61,800","-61,800","-61,800","-61,800","-61,800","-61,800","-61,800","-58,800","-58,800","-58,800","-58,800","-58,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-59,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-60,800","-61,800","-61,800","-61,800","-61,800","-61,800","-61,800","-61,800","-58,800","-58,800","-58,800","-58,800","-58,800","-58,800","-58,800","-58,800","-58,800","-59,800","-60,800","-61,800","-61,800","-61,800","-61,800","-64,800","-64,800","-64,800","-64,800","-65,800","-67,800","-67,800","-67,800","-65,800","-69,800","-66,800","-73,800","-73,800","-74,800","-74,800","-74,800","-74,800","-74,800","-74,800","-74,800","-74,800","-74,800","-75,800","-75,800","-75,800","-75,800","-75,800","-75,800","-75,800","-75,800","-72,800","-72,800","-53,800","-43,800","-43,800","-43,800","-39,800","-38,800","-38,800","-33,800","-33,800","-33,800","-33,800","-32,800","-19,800","-19,800","-19,800","-8,800","-8,800","-8,800","-8,800","-8,800","-8,800","-6,800","-3,900","-4,100","-7,200","-7,900","-9,800","-9,800","-2,800",,"-75,800","-2,800"
17,256G,"  129,800 ",,"-8,300","-7,800","-7,800","-7,800","-7,800","-7,800","-5,300","-5,300","-5,300","-5,300","-4,300","-5,800","-4,800","-4,800","-4,800","-3,800","-3,800","-3,800","-4,800","-5,800","-4,800","-2,300","-2,300",-800,200,200,200,200,200,200,200,200,200,200,200,200,200,-800,-800,200,200,200,-800,"1,200","1,200","1,200",200,200,"1,200","1,200","2,200","1,200","1,200",200,200,200,200,"2,200","1,700","1,200","-1,300","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-3,800","-4,300","-4,300","-4,800","-3,800","-3,800","-3,800","-3,800","-1,800","-2,800",-500,-800,-800,-800,200,200,-800,-800,200,"6,200","6,700","6,700","6,700","6,200","6,200","6,200","6,200","5,700","5,200","4,200","4,200","4,200","4,200","4,200","4,200","3,700","3,200","2,800","2,200","2,200","1,700","1,700","1,700","1,700","1,700","1,700","1,200",200,200,-800,-800,"-1,300","-1,300","-1,800","-1,800","-1,800","-2,800","-2,800","-4,800","-2,800","-2,800","-2,800","-1,800","-1,800","-1,800","-1,800","-1,800","-1,800",-800,-300,-300,"-1,300","-1,300","-1,800","-3,800",-800,-800,"-1,800","-2,800","-4,800","-5,800","-5,800","-5,800","-5,800","-5,800","-6,300","-11,800","-11,800","-11,800","-1,800","-5,800",,"-11,800","6,700"
,512G,"  164,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-4,800","-4,800","-4,800","-4,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-2,800","-1,800","-2,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-4,800","-5,800","-6,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-7,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-5,800","-6,800","-7,800","-7,800","-7,800","-7,800","-8,800","-9,800","-9,800","-7,800","-7,800","-5,800","-5,800","-4,800","-4,800","-3,800","-3,800","-3,800","-3,800","-3,800","-4,800","-5,300","-5,800","-5,800","-5,800","-5,800","-6,800","-7,800","-9,800","-10,800","-10,800","-10,800","-10,300","-10,300","-10,800","-16,800","-17,800","-19,800","-14,800","-9,800",,"-19,800","-1,800"
